Z,N,BE
21,33,453.312774
30,26,453.936
20,38,454.43
24,28,456.351428
22,31,457.399222
21,34,457.652525
26,27,458.386347
21,35,460.416768
23,30,461.63689
27,27,462.737718
25,28,462.911275
33,27,463.92
22,32,464.26149
24,29,464.290494
21,36,464.631681
21,37,466.61
32,27,467.044
28,27,467.3526
31,27,467.422
23,31,467.750322
29,27,467.948712
22,33,468.3789
30,27,469.167
21,38,470.053
26,28,471.764628
25,29,471.85011
21,39,471.9
24,30,474.00957
22,34,474.10216
21,40,475.007
23,32,475.07306
22,35,476.76909
27,28,476.82899
23,33,480.154696
24,31,480.25582
26,29,481.062725
22,36,482.038
25,30,482.07621
33,28,483.425
28,28,483.995624
22,37,484.508
29,28,484.685934
31,28,485.688
32,28,486.36
23,34,486.484569
27,29,486.910816
30,28,486.964752
24,32,488.502448
25,31,489.346648
22,38,489.42
23,35,490.544164
22,39,491.477
26,30,492.259824
24,33,493.813458
28,29,494.243181
22,40,495.69
23,36,496.045745
22,41,497.007
29,29,497.116086
25,32,497.992641
27,30,498.287274
33,29,498.914
23,37,499.527
31,29,499.62
26,31,499.905903
30,29,499.952843
22,42,500.352
32,29,500.688
24,34,501.351884
25,33,504.405294
23,38,504.862779
24,35,505.517133
28,30,506.459422
27,31,506.860202
23,39,507.904
29,30,509.878
26,32,509.9505
24,36,512.1723
25,34,512.174339
23,40,512.379
23,41,514.88
30,30,514.983
31,30,515.232291
28,31,515.458692
24,37,516.049264
33,30,516.159
26,33,516.531489
34,30,516.672
32,30,517.142
27,32,517.314065
25,35,517.68828
23,42,518.44
29,31,519.93612
23,43,520.344
24,38,522.540278
23,44,523.404
25,36,524.533815
27,33,524.80596
30,31,525.228849
26,34,525.35106
24,39,525.724164
28,32,526.84644
31,31,528.155804
25,37,529.386938
33,31,530.304
32,31,530.379108
26,35,530.929848
34,31,531.05
24,40,531.267712
29,32,531.646354
24,41,534.105
27,34,534.125028
28,33,534.666525
25,38,535.821363
30,32,538.119266
24,42,538.626
26,36,538.958684
25,39,539.994688
29,33,540.521022
24,43,540.69
27,35,540.722584
31,32,540.787338
26,37,543.787587
24,44,544.884
28,34,545.262286
33,32,545.75521
32,32,545.844672
25,40,546.044265
35,32,546.184
24,45,546.756
30,33,547.235955
34,32,547.8
27,36,549.221085
25,41,549.898668
24,46,550.69
31,33,551.144384
26,38,551.192832
29,34,551.384694
28,35,552.100059
25,42,554.693
27,37,555.23328
26,39,555.51249
32,33,556.07877
25,43,557.668
33,33,558.914598
30,34,559.09792
29,35,559.3008
35,33,560.252
34,33,560.758778
36,33,561.177
28,36,561.757504
25,44,562.143
26,40,562.433784
27,38,562.69746
31,34,563.0404
25,45,564.9
26,41,566.047423
30,35,567.077225
28,37,567.8556
27,39,567.992106
25,46,569.065
29,36,569.21124
32,34,569.278842
25,47,571.464
33,34,571.548056
26,42,571.995464
31,35,572.177826
27,40,574.976647
26,43,575.598
35,34,575.798238
37,34,576.165
29,37,576.277152
34,34,576.439196
28,38,576.807528
36,34,577.92
30,36,578.135712
32,35,578.401419
27,41,579.656888
26,44,581.14
33,35,581.92666
28,39,582.61525
31,36,583.404577
26,45,584.117
30,37,585.188184
29,38,585.409686
27,42,586.076685
34,35,586.755783
35,35,589.03572
26,46,589.248
28,40,590.407688
27,43,590.52
37,35,590.544
32,36,590.793248
36,35,591.22623
38,35,591.446
31,37,591.682824
29,39,591.72852
26,47,591.738
33,36,594.215649
28,41,594.993831
30,38,595.38624
27,44,596.310114
26,48,596.514
26,49,598.65
32,37,598.986447
29,40,599.969076
27,45,600.192
34,36,600.32231
30,39,601.868301
31,38,601.995951
35,36,602.183802
28,42,602.30037
33,37,603.51662
29,41,605.28055
27,46,605.535
37,36,606.338
28,43,606.564076
39,36,606.675
36,36,606.910968
38,36,608.354
27,47,608.946
34,37,609.61026
31,39,609.6496
32,38,610.519
30,40,611.08656
35,37,612.814464
29,42,613.086562
28,44,613.455192
27,48,613.875
33,38,615.139172
27,49,616.816
30,41,616.921911
28,45,617.408596
36,37,617.593432
32,39,617.934939
29,43,618.2298
31,40,618.949884
37,37,620.246688
39,37,621.376
27,50,621.39
40,37,622.237
38,37,622.238325
34,38,622.403208
33,39,623.547216
28,46,623.82
31,41,625.470408
35,38,625.471519
29,44,625.505537
30,42,625.80996
28,47,627.45
32,40,628.68564
29,45,630.595588
34,39,630.833734
30,43,631.329185
36,38,631.444812
28,48,633.156
37,38,633.620625
33,40,634.341457
31,42,634.652729
35,39,635.183514
32,41,635.468577
28,49,636.405
29,46,637.13205
41,38,637.214
39,38,637.406
38,38,637.938604
40,38,639.132
30,44,639.563796
31,43,641.074358
36,39,641.507925
28,50,641.55
29,47,641.708052
33,41,642.320074
34,40,642.89091
28,51,643.297
30,45,644.437275
37,39,644.95234
32,42,645.6648
28,52,646.4
35,40,647.073675
29,48,647.416
31,44,649.5606
38,39,649.565686
34,41,650.918475
39,39,651.222
29,49,651.37215
41,39,652.08
32,43,652.170675
30,46,652.252748
33,42,652.56555
42,39,652.698
40,39,653.093
36,40,654.269332
31,45,655.463976
35,41,656.327032
29,50,656.648
30,47,656.810231
37,40,657.375103
29,51,659.2
33,43,659.894016
32,44,661.597936
34,42,662.072252
29,52,662.499
38,40,663.007488
31,46,663.23103
36,41,663.496372
30,48,663.575562
29,53,664.446
39,40,664.940393
35,42,667.344062
37,41,667.5513
43,40,667.569
30,49,667.595978
32,45,667.669156
41,40,668.088
40,40,668.8
31,47,669.015906
42,40,669.366
34,43,669.49113
33,44,669.590306
38,41,673.38178
30,50,673.8836
36,42,675.576564
35,43,675.632802
31,48,675.928977
39,41,676.342
32,46,676.389714
30,51,676.505925
33,45,676.56225
37,42,679.490218
40,41,679.942998
34,44,679.988868
31,49,680.67632
30,52,680.691594
41,41,681.83
43,41,682.08
32,47,682.125579
44,41,682.55
30,53,682.758
42,41,683.422
36,43,683.911848
33,46,685.452664
38,42,686.28768
35,44,686.319926
30,54,686.448
34,45,686.951768
31,50,687.151917
30,55,687.82
37,43,688.934
39,42,688.978062
32,48,690.2056
31,51,690.526018
33,47,692.1024
40,42,694.185432
35,45,694.21224
31,52,694.923725
32,49,695.033298
41,42,695.399232
36,44,695.43424
38,43,695.575674
34,46,696.86504
31,53,697.788
43,42,698.275
42,42,699.3
39,43,699.40055
44,42,699.438
37,44,700.286553
33,48,700.492536
31,54,701.675
32,50,702.227992
36,45,703.30842
34,47,703.565919
31,55,703.996
35,46,704.371626
40,43,704.537117
32,51,705.860635
33,49,706.135948
41,43,707.133168
31,56,707.223
38,44,708.128876
37,45,709.089014
42,43,710.713135
32,52,711.104016
39,44,711.613448
45,43,711.92
35,47,711.964508
43,43,712.08
34,48,712.842072
44,43,713.313
33,50,713.771199
32,53,714.15028
36,46,714.27535
38,45,716.987781
33,51,718.026792
40,44,718.118436
32,54,718.498094
34,49,718.660065
37,46,720.043094
41,44,720.265435
32,55,721.23
39,45,721.37352
35,48,721.550872
36,47,721.745507
33,52,723.43364
32,56,725.384
42,44,725.384974
43,44,726.253728
32,57,727.041
33,53,727.278006
34,50,727.338612
40,45,727.943315
35,49,728.391636
37,47,728.802816
38,46,728.911008
45,44,728.999
46,44,730.17
44,44,730.224
32,58,730.62
41,45,731.191092
34,51,731.87584
33,54,732.005037
36,48,732.265464
39,46,733.39258
33,55,735.152
42,45,736.230888
35,50,737.25532
38,47,737.43603
34,52,738.036692
43,45,738.316304
37,48,739.282485
33,56,739.323
36,49,739.37777
40,46,740.808386
33,57,741.96
34,53,742.030917
44,45,742.171
35,51,742.38339
47,45,742.9
39,47,742.904808
45,45,742.95
41,46,744.002859
46,45,744.471
33,58,745.563
34,54,747.560352
33,59,747.684
37,49,747.933486
35,52,748.71417
38,48,748.927216
36,50,749.234494
42,46,750.103904
40,47,750.257898
34,55,750.739831
43,46,752.101175
35,53,753.609736
41,47,754.373312
39,48,754.711428
36,51,754.749621
34,56,755.61894
44,46,756.87912
38,49,757.355532
45,46,757.848
37,50,757.855521
34,57,758.470167
35,54,759.239331
47,46,760.089
42,47,760.503576
46,46,761.116
48,46,761.306
36,52,761.802712
40,48,762.610904
