Z,A,BE
20,53,440.006
21,53,448.963
22,53,457.396996
23,53,461.634664
24,53,464.288215
25,53,462.909049
26,53,458.384121
27,53,449.301246
28,53,435.236
29,53,418.541
19,54,426.384
20,54,444.096
21,54,453.640662
22,54,464.233896
23,54,467.748108
24,54,474.007356
25,54,471.847842
26,54,471.762576
27,54,462.737286
28,54,453.156174
29,54,434.862
30,54,418.932
19,55,429.33
20,55,446.38
21,55,457.07376
22,55,468.381155
23,55,475.079935
24,55,480.25362
25,55,482.07434
26,55,481.0608
27,55,476.826625
28,55,467.352325
29,55,452.87
30,55,435.38
20,56,449.792
21,56,460.824
22,56,473.718896
23,56,480.07988
24,56,488.498696
25,56,489.3448
26,56,492.258088
27,56,486.909752
28,56,483.991704
29,56,467.88
30,56,454.272
31,56,432.488
20,57,451.554
21,57,464.322
22,57,476.397336
23,57,486.259818
24,57,493.812888
25,57,497.993211
26,57,499.904193
27,57,498.285906
28,57,494.241357
29,57,484.686618
30,57,469.395
31,57,451.725
21,58,466.9
22,58,481.69
23,58,490.35114
24,58,501.19482
25,58,504.48458
26,58,509.948818
27,58,506.858926
28,58,506.458378
29,58,497.110402
30,58,486.963708
31,58,467.886
32,58,451.472
21,59,469.817
22,59,484.213
23,59,495.280279
24,59,505.322905
25,59,512.128614
26,59,516.529837
27,59,517.312767
28,59,515.45763
29,59,509.876879
30,59,499.997801
31,59,486.101
32,59,468.165
21,60,471.84
22,60,488.7
23,60,498.86232
24,60,512.00658
25,60,517.89822
26,60,525.34986
27,60,524.8047
28,60,526.84542
29,60,519.9351
30,60,514.99638
31,60,500.04
32,60,487.02
33,60,464.88
22,61,490.806
23,61,503.738
24,61,515.754695
25,61,524.347399
26,61,530.930702
27,61,534.125394
28,61,534.665549
29,61,531.645927
30,61,525.225433
31,61,515.188066
32,61,501.054
33,61,484.584
22,62,494.884
23,62,506.85
24,62,522.059902
25,62,528.901788
26,62,538.981376
27,62,540.729776
28,62,545.262038
29,62,540.531438
30,62,538.122676
31,62,528.16932
32,62,517.638
33,62,499.596
22,63,496.503
23,63,511.434
24,63,525.231
25,63,535.285485
26,63,543.697812
27,63,549.209997
28,63,552.099807
29,63,551.384442
30,63,547.235577
31,63,540.787338
32,63,530.397
33,63,516.474
23,64,513.984
24,64,530.944
25,64,539.622336
26,64,550.99392
27,64,555.2336
28,64,561.757888
29,64,559.30048
30,64,559.097472
31,64,551.145856
32,64,545.879104
33,64,530.24
23,65,517.92
24,65,533.65
25,65,545.74962
26,65,555.17254
27,65,562.682185
28,65,567.85599
29,65,569.21124
30,65,567.076835
31,65,563.04001
32,65,556.015135
33,65,545.805
34,65,530.985
24,66,538.758
25,66,549.384
26,66,561.939444
27,66,567.694908
28,66,576.807528
29,66,576.277152
30,66,578.135976
31,66,572.178618
32,66,569.296266
33,66,558.391812
34,66,547.8
24,67,541.025
25,67,554.626
26,67,566.129565
27,67,574.71595
28,67,582.61525
29,67,585.408949
30,67,585.188318
31,67,583.40518
32,67,578.40095
33,67,571.608624
34,67,560.656
35,67,546.184
25,68,557.872
26,68,571.636696
27,68,579.076644
28,68,590.407688
29,68,591.72852
30,68,595.386376
31,68,591.68296
32,68,590.794268
33,68,581.931352
34,68,576.46456
35,68,560.116
25,69,562.695
26,69,574.977
27,69,585.800133
28,69,594.993831
29,69,599.969007
30,69,601.868439
31,69,601.995882
32,69,598.986378
33,69,594.190119
34,69,586.622613
35,69,576.012
