Z,N,BE
35,51,742.3907
36,50,749.234322
37,49,747.933486
38,48,748.927646
39,47,742.905324
40,46,740.643782
41,45,731.883392
42,44,725.831056
43,43,713.714
32,55,721.404
33,54,732.366
34,53,742.186734
35,52,748.67937
36,51,754.749534
37,50,757.855521
38,49,757.355793
39,48,754.711776
40,47,750.258855
41,46,744.311535
42,45,737.040945
43,44,727.668
44,43,715.14
32,56,725.384
33,55,735.768
34,54,747.55428
35,53,753.625928
36,52,761.803592
37,51,763.93812
38,50,768.468448
39,49,764.06352
40,48,762.605184
41,47,754.272816
42,46,750.117456
43,45,739.376
44,44,731.544
32,57,727.041
33,56,739.679
34,55,750.982
35,54,759.53668
36,53,766.909351
37,52,771.11291
38,51,774.827236
39,50,775.537456
40,49,771.922276
41,48,766.921366
42,47,760.49254
43,46,752.584
44,45,743.417
45,44,730.779
33,57,742.05
34,56,755.73
35,55,763.65621
36,54,773.22393
37,53,776.83347
38,52,782.631
39,51,782.39448
40,50,783.8919
41,49,776.99862
42,48,773.72721
43,47,763.98426
44,46,757.26
45,45,744.39
33,58,745.563
34,57,758.212
35,56,768.61603
36,55,777.635677
37,54,783.288324
38,53,788.405982
39,52,790.323352
40,51,791.086387
41,50,789.046076
42,49,783.835507
43,48,776.833148
44,47,768.768
45,46,758.394
46,45,745.927
33,59,747.684
34,58,762.588
35,57,771.759204
36,56,783.18174
37,55,788.386364
38,54,795.69972
39,53,796.862968
40,52,799.721224
41,51,796.933256
42,50,796.507664
43,49,787.85488
44,48,782.552
45,47,770.684
46,46,762.036
34,59,764.739
35,58,776.271
36,57,786.485562
37,56,794.303235
38,55,800.987889
39,54,804.344166
40,53,806.455638
41,52,805.764555
42,51,804.57741
43,50,800.594127
44,49,793.474791
45,48,784.641
46,47,774.318
47,46,760.647
34,60,768.92
35,59,779.166
36,58,791.668
37,57,798.310322
38,56,807.815038
39,55,810.540756
40,54,814.676756
41,53,812.992088
42,52,814.254978
43,51,809.21686
44,50,806.848436
45,49,796.462
46,48,789.036
47,47,775.218
35,60,783.275
